run_id,stage,stub,task_id,n_cells,directional_agreement,spearman_rho,pearson_r,pearson_r_within_outcomes,rmse_pp,r_adj,rmse_adj,cal_alpha,cal_beta,shrinkage_factor,vs_no_effect_floor_directional,vs_no_effect_floor_rmse,vs_all_positive_directional,vs_all_positive_rmse,leak_verdict,note,parser_version
20260815-rehearsal-03,rehearsal,True,goldwert2026,204,0.5906862745098039,-0.0259525561574511,-0.0324962146143517,0.0134162258434617,3.378692451390488,-0.038673855754981,2.9952941095256707,2.059498860954505,-0.1077564931723202,0.9312168623131476,0.0906862745098039,0.1270338616056361,-0.1936274509803921,-0.3321585286601705,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=3; whole, 1 part(s); in_slope=False; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-03,rehearsal,True,vlasceanu2024,165,0.6787878787878788,-0.0020183252181956,0.029549219892611,0.0841219869861461,4.279442980428469,0.0377007994794578,3.842401102560352,3.5109159880677114,0.0957251526268392,1.8734344488013244,0.1787878787878788,0.4030433521833503,-0.2545454545454545,-0.3074944428957233,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=3; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-03,rehearsal,True,bbprime2025,408,0.5098039215686274,-0.0202426631821284,-0.0129016869726304,-0.0169602196687675,3.32840358183794,-0.014895984343181,2.926114048684164,1.0014597613910288,-0.0459661800431255,0.4638140214594703,0.0098039215686274,-0.0121079796543468,-0.0686274509803922,-0.1587159160706601,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=3; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-03,rehearsal,True,voelkel2024,234,0.4145299145299145,0.0420643192133957,0.0543277882623014,-0.010068501203641,2.776140821131889,0.0583673903220798,2.668456870398873,-1.1128021936848382,0.1268386922799486,-0.4553894423222669,-0.0854700854700854,-0.4442196198061321,0.0854700854700855,0.1403373340760545,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=3; split, 2 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-target-01,rehearsal-target,True,TARGET,208,,,,,,,,,0.5445872342193636,,,,,,n/a (no sealed truth exists for the target),REHEARSAL scripted - NOT a prediction; model=rehearsal-model-v1; draws=3; from 20260815-rehearsal-03; G6 worst seed 1.770,959d53386514
20260815-dryrun-08,dryrun-stub,True,voelkel2026,90,0.6,-0.1036973622330937,-0.0907995613604575,-0.2135680526442044,1.8602400762696256,-0.1333543091013151,1.532874841349709,1.2821327219978904,-0.1498995929699934,0.5143358517079639,0.0999999999999999,0.0080269082741442,-0.2222222222222222,-0.4151515602635287,CLEAN,"whole, 1 part(s), 7626 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-08,dryrun-stub,True,goldwert2026,204,0.6421568627450981,0.0385138129557429,0.0534112555731995,0.0377540128253936,3.291503440235996,0.0635649172755673,2.896587478147607,1.9055247150854688,0.1687045773430954,1.1209447283945602,0.1421568627450981,0.214222872760128,-0.1421568627450979,-0.2449695175056785,CLEAN,"whole, 1 part(s), 17036 tok; in_slope=False; positive_control=LEAK",unverified
20260815-dryrun-08,dryrun-stub,True,vlasceanu2024,165,0.6515151515151515,0.0840615407874394,0.093537951581454,0.0584388822204355,4.2895696905188165,0.1193417480768568,3.853676444648176,3.394895294457323,0.3057078923242488,1.966266224228713,0.1515151515151515,0.3929166420930023,-0.2818181818181818,-0.3176211529860713,CLEAN,"whole, 1 part(s), 5880 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-08,dryrun-stub,True,bbprime2025,408,0.5612745098039216,0.071609971417681,0.0084573144589905,0.05313810893957,3.316805875472661,0.0097646163663507,2.9129150756390354,0.9590958878797116,0.0294859625414793,0.4985077086642435,0.0612745098039215,-0.0005102732890684,-0.017156862745098,-0.1471182097053818,CLEAN,"whole, 1 part(s), 17442 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-08,dryrun-stub,True,voelkel2024,234,0.376068376068376,-0.1078420629658872,-0.1307592264836486,-0.0725402295376206,2.8312708226020376,-0.1404819716483898,2.7257657055113382,-0.8723106262241812,-0.3127031103001242,-0.7500703199079666,-0.1239316239316239,-0.4993496212762802,0.047008547008547,0.0852073326059064,CLEAN,"split, 2 part(s), 34308 tok; in_slope=True; positive_control=LEAK",unverified
20260815-rehearsal-04,rehearsal,True,voelkel2026,90,0.6666666666666666,-0.091556803391828,-0.1033251921817457,-0.0243360760708006,1.79334099839836,-0.1517502883241668,1.4509597080621155,1.342408377382551,-0.1674621139345582,0.5919434974216607,0.1666666666666666,0.0749259861454099,-0.1555555555555555,-0.348252482392263,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=claude-opus-5; draws=3; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-04,rehearsal,True,goldwert2026,204,0.5931372549019608,-0.0822906908256872,-0.0882814323380067,-0.0430517077867356,3.397250938734296,-0.1050640334759281,3.016212535980708,2.170749755012672,-0.2818522671925697,0.8227490203679672,0.0931372549019607,0.1084753742618276,-0.1911764705882352,-0.350717016003979,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=claude-opus-5; draws=3; whole, 1 part(s); in_slope=False; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-04,rehearsal,True,vlasceanu2024,165,0.7,-0.0288241910101721,-0.0584653795521301,-0.1210710978870275,4.37927326239885,-0.0745938999065225,3.9532832325776974,3.6933234576197447,-0.2058327258330807,1.7834260027099695,0.1999999999999999,0.3032130702129691,-0.2333333333333334,-0.4073247248661045,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=claude-opus-5; draws=3; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
